_id,start_time_sweden,start_time_utc,bidding_zone,price,price_unit
1233778,2026-06-24T09:30:00,2026-06-24T07:30:00,SE1,97.77,EUR-MWh
1233268,2026-06-24T09:30:00,2026-06-24T07:30:00,SE2,98.95,EUR-MWh
1233736,2026-06-24T09:30:00,2026-06-24T07:30:00,SE4,101.8,EUR-MWh
1233655,2026-06-24T09:15:00,2026-06-24T07:15:00,SE4,107.77,EUR-MWh
1232713,2026-06-24T09:15:00,2026-06-24T07:15:00,SE2,104.56,EUR-MWh
1233046,2026-06-24T09:15:00,2026-06-24T07:15:00,SE1,103.22,EUR-MWh
1233236,2026-06-24T09:15:00,2026-06-24T07:15:00,SE3,106.87,EUR-MWh
1233191,2026-06-24T09:00:00,2026-06-24T07:00:00,SE2,110.67,EUR-MWh
1233166,2026-06-24T09:00:00,2026-06-24T07:00:00,SE3,113.27,EUR-MWh
1233224,2026-06-24T09:00:00,2026-06-24T07:00:00,SE4,114.28,EUR-MWh
1232989,2026-06-24T09:00:00,2026-06-24T07:00:00,SE1,109.16,EUR-MWh
1233466,2026-06-24T08:45:00,2026-06-24T06:45:00,SE2,102.15,EUR-MWh
1233904,2026-06-24T08:45:00,2026-06-24T06:45:00,SE1,100.93,EUR-MWh
1232437,2026-06-24T08:45:00,2026-06-24T06:45:00,SE3,104.37,EUR-MWh
1233314,2026-06-24T08:45:00,2026-06-24T06:45:00,SE4,105.25,EUR-MWh
1233272,2026-06-24T08:30:00,2026-06-24T06:30:00,SE3,111.72,EUR-MWh
1232725,2026-06-24T08:30:00,2026-06-24T06:30:00,SE4,112.76,EUR-MWh
1232698,2026-06-24T08:30:00,2026-06-24T06:30:00,SE1,107.67,EUR-MWh
1232835,2026-06-24T08:30:00,2026-06-24T06:30:00,SE2,109.11,EUR-MWh
1232451,2026-06-24T08:15:00,2026-06-24T06:15:00,SE1,115.84,EUR-MWh
1233595,2026-06-24T08:15:00,2026-06-24T06:15:00,SE3,120.54,EUR-MWh
1232666,2026-06-24T08:15:00,2026-06-24T06:15:00,SE2,117.51,EUR-MWh
1232752,2026-06-24T08:15:00,2026-06-24T06:15:00,SE4,121.74,EUR-MWh
1233767,2026-06-24T08:00:00,2026-06-24T06:00:00,SE2,147.22,EUR-MWh
1233799,2026-06-24T08:00:00,2026-06-24T06:00:00,SE3,151.78,EUR-MWh
1233724,2026-06-24T08:00:00,2026-06-24T06:00:00,SE1,144.71,EUR-MWh
1232708,2026-06-24T08:00:00,2026-06-24T06:00:00,SE4,153.59,EUR-MWh
1233638,2026-06-24T07:45:00,2026-06-24T05:45:00,SE3,114.17,EUR-MWh
1233600,2026-06-24T07:45:00,2026-06-24T05:45:00,SE4,115.3,EUR-MWh
1232630,2026-06-24T07:45:00,2026-06-24T05:45:00,SE1,109.67,EUR-MWh
1232509,2026-06-24T07:45:00,2026-06-24T05:45:00,SE2,111.27,EUR-MWh
1232442,2026-06-24T07:30:00,2026-06-24T05:30:00,SE3,127.94,EUR-MWh
1233474,2026-06-24T07:30:00,2026-06-24T05:30:00,SE2,124.43,EUR-MWh
1233657,2026-06-24T07:30:00,2026-06-24T05:30:00,SE1,122.5,EUR-MWh
1232829,2026-06-24T07:30:00,2026-06-24T05:30:00,SE4,129.32,EUR-MWh
1233261,2026-06-24T07:15:00,2026-06-24T05:15:00,SE2,138.03,EUR-MWh
1233284,2026-06-24T07:15:00,2026-06-24T05:15:00,SE4,143.91,EUR-MWh
1232950,2026-06-24T07:15:00,2026-06-24T05:15:00,SE3,142.25,EUR-MWh
1232595,2026-06-24T07:15:00,2026-06-24T05:15:00,SE1,135.71,EUR-MWh
1233870,2026-06-24T07:00:00,2026-06-24T05:00:00,SE3,151.29,EUR-MWh
1232577,2026-06-24T07:00:00,2026-06-24T05:00:00,SE2,146.63,EUR-MWh
1233654,2026-06-24T07:00:00,2026-06-24T05:00:00,SE4,153.12,EUR-MWh
1233362,2026-06-24T07:00:00,2026-06-24T05:00:00,SE1,144.07,EUR-MWh
1233292,2026-06-24T06:45:00,2026-06-24T04:45:00,SE2,109.78,EUR-MWh
1233750,2026-06-24T06:45:00,2026-06-24T04:45:00,SE4,113.87,EUR-MWh
1233728,2026-06-24T06:45:00,2026-06-24T04:45:00,SE1,108.14,EUR-MWh
1233183,2026-06-24T06:45:00,2026-06-24T04:45:00,SE3,112.76,EUR-MWh
1233563,2026-06-24T06:30:00,2026-06-24T04:30:00,SE4,112.98,EUR-MWh
1232803,2026-06-24T06:30:00,2026-06-24T04:30:00,SE3,111.89,EUR-MWh
1232498,2026-06-24T06:30:00,2026-06-24T04:30:00,SE2,108.93,EUR-MWh
1233677,2026-06-24T06:30:00,2026-06-24T04:30:00,SE1,107.32,EUR-MWh
1233033,2026-06-24T06:15:00,2026-06-24T04:15:00,SE2,106.09,EUR-MWh
1232785,2026-06-24T06:15:00,2026-06-24T04:15:00,SE4,110.22,EUR-MWh
1232833,2026-06-24T06:15:00,2026-06-24T04:15:00,SE1,104.43,EUR-MWh
1233201,2026-06-24T06:15:00,2026-06-24T04:15:00,SE3,109.1,EUR-MWh
1233106,2026-06-24T06:00:00,2026-06-24T04:00:00,SE2,103.83,EUR-MWh
